,mean,std
gdp_real,405585.93137368927,15204.110974858173
gdp_nominal,417954.2495145631,60661.05970343657
unemployment_rate,9.085758621359224,1.9235025716380618
cpi_all_items,2.0308815366990287,1.9465620165122115
cpi_annual_growth,1.9924918572536945,1.7491722710480315
interest_rate_short_term,1.4348323946954864,1.7436348294221367
interest_rate_long_term,3.6074660194174766,1.4245604675810655
industrial_production_index,110.50380155339806,11.758376549207897
exports_volume,24.12479422026764,3.902109162906261
imports_volume,23.27669256937119,3.5060821180771775
trade_balance,-0.12165048543689329,1.7257814922506445
household_consumption,256366169902.91263,8055597379.435961
capital_formation,80760512621.35922,1906045847.8879528
employment_level,57.55405961165047,2.203764540922042
exchange_rate_usd,0.8564625631960509,0.115590156060147
stock_market_index,112.28185922330098,30.6736015328237
government_spending,81055.82407042646,2158.6037171724074
population_total,59098958.390398905,1046797.6741188469
population_working_age,38329404.66019417,595306.7657886612
gdp_growth_qoq,0.12255837564366938,2.102728850844951
gdp_growth_yoy,0.4339417743453518,3.6841850893873973
ip_growth,-0.7088410420741579,7.5264397767721665
employment_growth,0.645989285329571,1.7489678300339624
consumption_growth,0.2688033440982255,3.348654722910271
investment_growth,0.2813120012276812,1.5382824925725247
exports_growth,1.7704908046951726,7.027108210198112
imports_growth,1.7967437970973337,10.9282861098659
gdp_real_lag1,405336.99103886634,15066.76844823369
gdp_real_lag2,405083.1211924628,14921.057536294225
gdp_real_lag4,404567.24582171533,14614.938024109655
unemployment_rate_lag1,9.113195598039216,1.9126394367905935
unemployment_rate_lag2,9.141175881188119,1.9010832543970413
unemployment_rate_lag4,9.20237103030303,1.8698139853558249
cpi_annual_growth_lag1,2.0023949830791095,1.754906071376702
cpi_annual_growth_lag2,2.0124942104060177,1.7606773725537126
cpi_annual_growth_lag4,2.0333047394432837,1.7723307235230021
industrial_production_index_lag1,110.60144666666667,11.774401909305801
industrial_production_index_lag2,110.70102534653464,11.789884152015029
industrial_production_index_lag4,110.90621777777778,11.819060278333843
interest_rate_short_term_lag1,1.430033305194368,1.7515616801494567
interest_rate_short_term_lag2,1.4239844741755476,1.759226725028649
interest_rate_short_term_lag4,1.3958118582137262,1.7651914719314121
gdp_growth_yoy_lag1,0.4338758312071699,3.7031269811709397
gdp_growth_yoy_lag4,0.4296222488868102,3.7616155506658604
trade_gdp_ratio,-2.6794771408336983e-05,0.000422722202672077
gov_gdp_ratio,20.000933333937393,0.6119352117241057
gdp_growth_yoy_ma4,0.3967444878332276,2.926316015244469
unemployment_rate_ma4,9.10082365,1.8718093721909923
cpi_annual_growth_ma4,1.997604502823497,1.6791622031913458
gdp_real_diff,412.59970604367646,7696.542007440382
employment_level_diff,0.09737333333333333,0.44250233566387753
industrial_production_index_diff,-0.25701078431372554,4.196531593760621
gdp_volatility_4q,1.4150625331828255,2.228715472156943
stock_volatility_4q,0.08419619383067345,0.05020372159974054
gdp_momentum,-0.05599512942521427,5.762665182497344
inflation_momentum,-0.07131583819687715,1.8520598297414737
high_inflation_regime,0.32038834951456313,0.4689076215098176
high_volatility_regime,0.24271844660194175,0.430822729056944
inflation_x_volatility,3.8704547151335915,9.964091222431332
unemployment_x_inflation,17.02012012167833,14.704466699194308
stock_returns_1q,0.6069419050941054,9.854914027325943
stock_volatility_4q_v6,8.419619383067337,5.020372159974061
risk_adjusted_returns,0.1812742972370847,1.1899068984864738
unemployment_momentum_v6,-0.047227480392156865,0.48844699044344786
unemployment_vs_5y_avg,-0.29926203508145355,1.4624868466971412
inflation_acceleration_v6,-0.015248159783221853,0.5120846260889026
inflation_z_score,-0.2269411667207939,1.3201602733480515
